amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_en,nameOrig_en,nameDest_en
183806.32,19391.0,0.0,382572.19,566378.51,1,5339622,123305
521.37,0.0,0.0,0.0,0.0,3,3397158,2085113
3478.18,19853.0,16374.82,0.0,0.0,3,2294486,2325890
1716.05,5769.17,4053.13,0.0,0.0,3,6069996,1003210
253129.93,1328499.49,1581629.42,2713220.48,2460090.55,0,3344533,396862
24768.57,21573.0,0.0,0.0,0.0,3,5293731,1385686
124718.38,0.0,0.0,2482527.99,2607246.37,1,4234080,26701
1464.13,60483.0,59018.87,0.0,0.0,3,4183577,644697
353783.72,0.0,0.0,1639764.23,1993547.95,4,3834914,140690
266999.97,7411271.89,7678271.86,386812.88,119812.91,0,615780,175757
53230.73,895081.62,948312.35,7015146.49,6961915.77,0,6151199,383108
195227.91,0.0,0.0,1256726.0,1451953.91,1,5813371,319655
39108.07,0.0,0.0,2484800.84,2523908.91,1,751616,567895
417787.06,36702.0,0.0,0.0,417787.06,1,2145200,376919
819.35,274494.0,273674.65,923509.57,924328.92,2,485717,217825
4017.63,10306.0,6288.37,0.0,0.0,3,3588727,2384037
14691.54,0.0,0.0,0.0,0.0,3,5690603,1148868
239121.18,0.0,0.0,250452.44,489573.62,1,3443221,434164
3167.66,62536.0,59368.34,0.0,0.0,1,1948251,189827
270566.57,6494.0,0.0,0.0,586645.37,1,4053502,380727
9608.56,26809.0,17200.44,0.0,0.0,3,4376921,2591936
180.04,21007.0,20826.96,0.0,0.0,3,4764725,1966861
834.62,20508.0,19673.38,0.0,0.0,3,2575891,1363152
219979.57,50068.0,0.0,48281.99,268261.56,1,4993041,186135
258953.67,3617.29,0.0,509480.49,768434.16,1,1834389,216520
124885.22,0.0,0.0,11406286.43,11531171.65,1,4425279,187945
198887.55,7453814.02,7652701.56,737163.77,538276.22,0,2526074,265464
17968.47,0.0,0.0,0.0,0.0,3,1557441,2475092
57701.37,276.0,0.0,0.0,57701.37,1,764996,467130
147803.6,73820.0,0.0,249358.35,397161.96,1,1531469,132414
200330.14,387.0,0.0,3079166.74,3321302.8,1,1366518,159450
377275.45,0.0,0.0,2072427.97,2266894.08,1,2553977,427124
3950.45,0.0,0.0,0.0,0.0,3,1180532,1814792
17678.74,0.0,0.0,0.0,0.0,3,4065001,1174168
97315.53,154925.0,57609.47,34596.08,131911.61,1,1936307,373782
22173.62,0.0,0.0,0.0,0.0,3,5255802,1145605
