amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_en,isFraud
183806.32,19391,0,382572.19,566378.51,1,0
521.37,0,0,0,0,3,0
3478.18,19853,16374.82,0,0,3,0
1716.05,5769.17,4053.13,0,0,3,0
253129.93,1328499.49,1581629.42,2713220.48,2460090.55,0,0
24768.57,21573,0,0,0,3,0
124718.38,0,0,2482527.99,2607246.37,1,0
1464.13,60483,59018.87,0,0,3,0
353783.72,0,0,1639764.23,1993547.95,4,0
266999.97,7411271.89,7678271.86,386812.88,119812.91,0,0
53230.73,895081.62,948312.35,7015146.49,6961915.77,0,0
195227.91,0,0,1256726,1451953.91,1,0
39108.07,0,0,2484800.84,2523908.91,1,0
417787.06,36702,0,0,417787.06,1,0
819.35,274494,273674.65,923509.57,924328.92,2,0
4017.63,10306,6288.37,0,0,3,0
14691.54,0,0,0,0,3,0
239121.18,0,0,250452.44,489573.62,1,0
3167.66,62536,59368.34,0,0,1,0
270566.57,6494,0,0,586645.37,1,0
9608.56,26809,17200.44,0,0,3,0
180.04,21007,20826.96,0,0,3,0
834.62,20508,19673.38,0,0,3,0
219979.57,50068,0,48281.99,268261.56,1,0
258953.67,3617.29,0,509480.49,768434.16,1,0
124885.22,0,0,11406286.43,11531171.65,1,0
198887.55,7453814.02,7652701.56,737163.77,538276.22,0,0
17968.47,0,0,0,0,3,0
57701.37,276,0,0,57701.37,1,0
147803.6,73820,0,249358.35,397161.96,1,0
200330.14,387,0,3079166.74,3321302.8,1,0
377275.45,0,0,2072427.97,2266894.08,1,0
3950.45,0,0,0,0,3,0
17678.74,0,0,0,0,3,0
97315.53,154925,57609.47,34596.08,131911.61,1,0
22173.62,0,0,0,0,3,0
221420.51,6648016.21,6869436.72,1042561.5,821141,0,0
629431.23,214049,0,1163.54,630594.77,1,0
5521.12,51674,46152.88,0,0,3,0
2904.77,2041,0,0,0,3,0
274751.1,55268.44,0,0,274751.1,1,0
116940.06,8006023.41,8122963.47,4174564.42,4057624.36,0,0
21050.76,0,0,1753480.45,1774531.2,1,0
152046.3,91550.41,0,406602.59,558648.89,1,0
291182.56,11149,0,580539.95,871722.51,1,0
1531.71,22881,21349.29,0,0,3,0
13845.29,0,0,2477960.52,2491805.8,1,0
1188.95,0,0,0,0,3,0
12667.7,374871.91,362204.22,0,0,3,0
65516.41,115018,49501.59,0,65516.41,1,0
17457.41,0,0,0,0,3,0
1015.43,0,0,0,0,3,0
96067.45,1646219.8,1742287.24,130578.67,443125.3,0,0
1604.03,210409,208804.97,0,0,3,0
14330.33,33848.77,19518.44,0,0,3,0
229110.92,19919,0,0,229110.92,1,0
14057.22,0,0,0,0,3,0
14167.99,0,0,0,0,3,0
138340.69,58350.59,0,687441.78,825782.46,1,0
9021,105202,96181,0,0,3,0
85955.34,157044,242999.34,9356940.48,9270985.14,0,0
132823.81,9132442.11,9265265.92,2725669.69,2592845.88,0,0
422018.23,42596,464614.23,5966582.95,5895065.75,0,0
109480.44,35608,0,414605.48,524085.92,1,0
386838.1,0,0,4301043.7,4687881.8,1,0
306069.37,30735,336804.37,32902,0,0,0
84782.1,105294,20511.9,325520.54,410302.64,1,0
87999.13,5084256.68,5172255.81,11698441.45,11725918.02,0,0
5733.6,20870,15136.4,0,0,3,0
3842.48,20043,16200.52,0,0,3,0
8772.84,31132,22359.16,0,0,3,0
